Category: All categories
TOP
Song,100
2021,50
Music,45
Film,42
Lyrics,35
Episode,35
Video,33
TikTok,33
Do it yourself,24
Game,23
Child,21
Roblox,18
Dance,17
Minecraft,16
Infant,15
Cocomelon – Nursery Rhymes,14
ASMR,14
Trailer,14
Girl,13
Spanish Language,13
Video game,13
Love,12
Sleep,12
Remix,12
Fortnite,12

RISING
Christmas music,+350%
Summer Walker,+250%
Travis Scott,+200%
Christmas Day,+180%
Adele,+130%
NBA,+80%
Taylor Swift,+60%
Basketball,+50%
Halloween,+40%

